Date,Close1,Date,Close2
7/11/2019 16:00:00,43.99,7/11/2019 16:00:00,61.85
7/12/2019 16:00:00,43.99,7/12/2019 16:00:00,64.25
7/15/2019 16:00:00,44.53,7/15/2019 16:00:00,64.79
7/16/2019 16:00:00,44.13,7/16/2019 16:00:00,64.8
7/17/2019 16:00:00,43.62,7/17/2019 16:00:00,65.17
7/18/2019 16:00:00,43.71,7/18/2019 16:00:00,66
7/19/2019 16:00:00,43.18,7/19/2019 16:00:00,67.45
7/22/2019 16:00:00,43.69,7/22/2019 16:00:00,66
7/23/2019 16:00:00,43.36,7/23/2019 16:00:00,64.93
7/24/2019 16:00:00,43.76,7/24/2019 16:00:00,65.23
7/25/2019 16:00:00,43.4,7/25/2019 16:00:00,65.01
7/26/2019 16:00:00,44.52,7/26/2019 16:00:00,65.52
7/29/2019 16:00:00,43.88,7/29/2019 16:00:00,64.03
7/30/2019 16:00:00,42.59,7/30/2019 16:00:00,62.46
7/31/2019 16:00:00,42.14,7/31/2019 16:00:00,60.87
8/1/2019 16:00:00,41.31,8/1/2019 16:00:00,59.77
8/2/2019 16:00:00,40.4,8/2/2019 16:00:00,58.61
8/5/2019 16:00:00,39.05,8/5/2019 16:00:00,59.51
8/6/2019 16:00:00,39.15,8/6/2019 16:00:00,58.7
8/7/2019 16:00:00,39.7,8/7/2019 16:00:00,60.29
8/8/2019 16:00:00,42.97,8/8/2019 16:00:00,62.1
8/9/2019 16:00:00,40.05,8/9/2019 16:00:00,59.12
8/12/2019 16:00:00,37,8/12/2019 16:00:00,56.18
8/13/2019 16:00:00,36.45,8/13/2019 16:00:00,58.08
8/14/2019 16:00:00,33.96,8/14/2019 16:00:00,54.49
8/15/2019 16:00:00,33.22,8/15/2019 16:00:00,52.8
8/16/2019 16:00:00,35.23,8/16/2019 16:00:00,52.47
8/19/2019 16:00:00,34.61,8/19/2019 16:00:00,51.68
8/20/2019 16:00:00,35.29,8/20/2019 16:00:00,53.65
8/21/2019 16:00:00,34.91,8/21/2019 16:00:00,54.15
8/22/2019 16:00:00,34,8/22/2019 16:00:00,51.36
8/23/2019 16:00:00,33.43,8/23/2019 16:00:00,49.11
8/26/2019 16:00:00,33.31,8/26/2019 16:00:00,51.21
8/27/2019 16:00:00,33.11,8/27/2019 16:00:00,49.61
8/28/2019 16:00:00,32.59,8/28/2019 16:00:00,48.84
8/29/2019 16:00:00,32.76,8/29/2019 16:00:00,49.73
8/30/2019 16:00:00,32.57,8/30/2019 16:00:00,48.97
9/3/2019 16:00:00,30.7,9/3/2019 16:00:00,45.42
9/4/2019 16:00:00,31.99,9/4/2019 16:00:00,46.35
9/5/2019 16:00:00,32.51,9/5/2019 16:00:00,46.4
9/6/2019 16:00:00,31.86,9/6/2019 16:00:00,44.5
9/9/2019 16:00:00,32.24,9/9/2019 16:00:00,44.38
9/10/2019 16:00:00,33.51,9/10/2019 16:00:00,45.45
9/11/2019 16:00:00,34,9/11/2019 16:00:00,46.53
9/12/2019 16:00:00,34.07,9/12/2019 16:00:00,46.99
9/13/2019 16:00:00,33.25,9/13/2019 16:00:00,46.1
9/16/2019 16:00:00,34.43,9/16/2019 16:00:00,47.79
9/17/2019 16:00:00,34.29,9/17/2019 16:00:00,48.06
9/18/2019 16:00:00,34.26,9/18/2019 16:00:00,46.62
9/19/2019 16:00:00,33.82,9/19/2019 16:00:00,47.28
9/20/2019 16:00:00,32.6,9/20/2019 16:00:00,46.43
9/23/2019 16:00:00,33,9/23/2019 16:00:00,45.31
9/24/2019 16:00:00,31.3,9/24/2019 16:00:00,41.88
9/25/2019 16:00:00,31.68,9/25/2019 16:00:00,41.78
9/26/2019 16:00:00,31.57,9/26/2019 16:00:00,41.9
9/27/2019 16:00:00,30.29,9/27/2019 16:00:00,41.35
9/30/2019 16:00:00,30.47,9/30/2019 16:00:00,40.84
10/1/2019 16:00:00,29.15,10/1/2019 16:00:00,39.57
10/2/2019 16:00:00,29,10/2/2019 16:00:00,38.39
10/3/2019 16:00:00,29.72,10/3/2019 16:00:00,39.52
10/4/2019 16:00:00,29.67,10/4/2019 16:00:00,39.16
10/7/2019 16:00:00,30.37,10/7/2019 16:00:00,39.24
10/8/2019 16:00:00,29.28,10/8/2019 16:00:00,38.66
10/9/2019 16:00:00,29.07,10/9/2019 16:00:00,38.2
10/10/2019 16:00:00,28.87,10/10/2019 16:00:00,37.7
